가게 이름,메뉴 이름,메뉴 설명,가격,순번
63,국산김치우동,,7500,1
63,안심돈까스,300시간 진공숙성시킨 1＋안심을 이용하여 저온에서 튀겨낸 일식 돈까스,10000,2
63,경양식돈까스,추억의 옛날식 돈까스,10000,3
63,돈쫄면,돈까스를 토핑한 쫄면,8500,4
63,간사이우동,한국인의 입맛에 익숙한 깔끔담백한 국물이 일품인 우동,6000,5
63,추추스페셜,안심＋치즈＋왕새우튀김을 모두 맛볼수 있는 모듬 돈까스（best）,12000,6
63,안심돈까스,300시간 진공숙성시킨 1＋안심을 이용하여 저온에서 튀겨낸 일식 돈까스,10000,7
63,치즈돈까스,자연 99.9% 모짜렐라 치즈를 체다치즈와 함께 사용하여 진한 풍미를 자랑하는 치즈 돈까스（best）,10500,8
63,경양식돈까스,추억의 옛날식 돈까스,10000,9
63,추추스페셜,안심＋치즈＋왕새우튀김을 모두 맛볼수 있는 모듬 돈까스（best）,12000,10
63,고구마치즈돈까스,,11500,11
63,추추스페셜,안심＋치즈＋왕새우튀김을 모두 맛볼수 있는 모듬 돈까스（best）,12000,12
63,고구마치즈돈까스,,11500,13
63,치즈돈까스,자연 99.9% 모짜렐라 치즈를 체다치즈와 함께 사용하여 진한 풍미를 자랑하는 치즈 돈까스（best）,10500,14
63,달고기 생선까스,,10500,15
63,안심돈까스,300시간 진공숙성시킨 1＋안심을 이용하여 저온에서 튀겨낸 일식 돈까스,10000,16
63,경양식돈까스,추억의 옛날식 돈까스,10000,17
63,안심카레,,9500,18
63,새우카레,,9500,19
63,제육덮밥,,8500,20
63,돈쫄면,돈까스를 토핑한 쫄면,8500,21
63,카레,,8000,22
63,비빔모밀,,8000,23
63,완도미역소고기우동,,8000,24
63,"떡볶이（대）＋튀김세트（김말이3,튀만두3）",,8000,25
63,왕새우튀김 3EA,,8000,26
63,냉모밀,,7500,27
63,국산김치우동,,7500,28
63,쫄면,,7000,29
63,추추스페셜,안심＋치즈＋왕새우튀김을 모두 맛볼수 있는 모듬 돈까스（best）,12000,30
63,치즈돈까스,자연 99.9% 모짜렐라 치즈를 체다치즈와 함께 사용하여 진한 풍미를 자랑하는 치즈 돈까스（best）,10500,31
63,안심돈까스,300시간 진공숙성시킨 1＋안심을 이용하여 저온에서 튀겨낸 일식 돈까스,10000,32
63,경양식돈까스,추억의 옛날식 돈까스,10000,33
63,달고기 생선까스,,10500,34
63,고구마치즈돈까스,,11500,35
63,카레,,8000,36
63,안심카레,,9500,37
63,새우카레,,9500,38
63,제육덮밥,,8500,39
63,안심1조각,,3500,40
63,치즈1조각,,5000,41
63,달고기생선까스1조각,,3500,42
63,목살 제육볶음 2인분 （공기밥）,목살 320g,13000,43
63,목살 제육볶음 3인분 （공기밥）,목살 480g,19000,44
63,돈쫄면,돈까스를 토핑한 쫄면,8500,45
63,쫄면,,7000,46
63,냉모밀,,7500,47
63,비빔모밀,,8000,48
63,간사이우동,한국인의 입맛에 익숙한 깔끔담백한 국물이 일품인 우동,6000,49
63,국산김치우동,,7500,50
63,완도미역소고기우동,,8000,51
63,미니우동,,3000,52
63,미니쫄면,,3500,53
63,미니모밀,,4000,54
63,남포동 떡볶이 小,,3000,55
63,"떡볶이（소）＋튀김세트（김말이2,튀만두2）",,5000,56
63,남포동 떡볶이 大,,5000,57
63,"떡볶이（대）＋튀김세트（김말이3,튀만두3）",,8000,58
63,왕새우튀김 1EA,,3000,59
63,왕새우튀김 3EA,,8000,60
63,공기밥,,1000,61
63,콜라 355mL,,2000,62
63,사이다 355mL,,2000,63
63,환타 355mL,재미있고 신나는 상상! 마지막 한 방울까지 짜릿한 맛은 지루한 일상의 유쾌한 활력소,2000,64
63,제로코카콜라,"코카-콜라의 짜릿함은 그대로, 칼로리는 가볍게 즐기길 한다면 이젠 슬림하게, 가볍게 마셔요~!",2000,65
63,식혜,,1500,66
64,카와루돈코츠라멘,,8000,67
64,카와루 폭탄규동,,9500,68
64,카와루 빅에비동,,10000,69
64,카와루 [매운] 빅에비동,,10500,70
64,카와루 수제가츠동,,9000,71
64,1人 가라아게 Set,"단품메뉴 ＋ 가라아게 小 '매콤양지라멘', '매운차슈라멘' 맵기 조절 가능합니다!요청사항에 적어주세요 기본은 1단계입니다.",14900,72
64,카와루돈코츠라멘,,8000,73
64,매운차슈라멘,,9000,74
64,매콤특제양지라멘,,9500,75
64,1人 가라아게 Set,"단품메뉴 ＋ 가라아게 小 '매콤양지라멘', '매운차슈라멘' 맵기 조절 가능합니다!요청사항에 적어주세요 기본은 1단계입니다.",14900,76
64,양지돈코츠라멘,,8500,77
64,카와루 [매운] 빅에비동,,10500,78
64,카와루 빅에비동,,10000,79
64,카와루 [매운] 폭탄규동,,10000,80
64,매콤특제양지라멘,,9500,81
64,카와루 폭탄규동,,9500,82
64,카와루 [매운] 수제차슈동,,9500,83
64,카와루 [매운] 수제가츠동,,9500,84
64,매운차슈라멘,,9000,85
64,카와루 수제차슈동,,9000,86
64,카와루 수제가츠동,,9000,87
64,양지돈코츠라멘,,8500,88
64,카와루돈코츠라멘,,8000,89
64,1人 가라아게 Set,"단품메뉴 ＋ 가라아게 小 '매콤양지라멘', '매운차슈라멘' 맵기 조절 가능합니다!요청사항에 적어주세요 기본은 1단계입니다.",14900,90
64,2人 가라아게 Set,"단품메뉴 2개 ＋ 가라아게小 ＋ 동글동글감자튀김 '매콤양지라멘', '매운차슈라멘' 맵기 조절 가능합니다!요청사항에 적어주세요 기본은 1단계입니다.",23900,91
64,카와루돈코츠라멘,,8000,92
64,매콤특제양지라멘,,9500,93
64,양지돈코츠라멘,,8500,94
64,매운차슈라멘,,9000,95
64,카와루 수제차슈동,,9000,96
64,카와루 폭탄규동,,9500,97
64,카와루 빅에비동,,10000,98
64,카와루 수제가츠동,,9000,99
64,카와루 치킨가라아게,,7900,100
64,카와루 [매운] 수제차슈동,,9500,101
64,카와루 [매운] 폭탄규동,,10000,102
64,카와루 [매운] 빅에비동,,10500,103
64,카와루 [매운] 수제가츠동,,9500,104
64,숙주추가,,1000,105
64,삶은왕란 1EA,,1000,106
64,수제차슈,,3000,107
64,빅왕새우튀김 4EA,,5000,108
64,미니미니 만두튀김 20EA,,3500,109
64,동글동글 감자튀김 20EA,,3500,110
64,김말이 튀김 4EA,,2000,111
64,돈코츠국물 小,,1500,112
64,매콤돈코츠국물 小,,2000,113
64,면추가,,2000,114
64,공기밥,,1000,115
64,펩시콜라 500mL,펩시~ 가장 사랑하는 것을 위해! Fun! Food! Festa,2000,116
64,칠성사이다 500mL,"일상에 지쳐 기분 전환이 필요할 때, 시한 하루를 만드는 청량감 칠성사이다",2000,117
64,칠성사이다 제로 355mL,"칠성사이다 본연의 맛은 그대로, 칼로리 제로, 가벼운 나로!",2000,118
64,제로펩시 500mL,"짜릿한 맛은 그대로! 설탕은 들어가지 않은 제로 슈거! Great Taste, Zero Sugar",2000,119
65,[[1등 타코]] 이나타코야끼,이나타코야끼만의 시그니쳐 소스,6500,120
65,[[네기]] 파 타코야끼,파 향과 아삭한 식감이 타코야끼의 맛을 더욱 풍미있게.,7000,121
65,[[사장님 추천]] 치즈타코야끼,치즈 소스를 듬뿍 올려 먹을수록 중독 되는 맛.,7000,122
65,맵달타코야끼,매콤달달한 소스에 마요네즈를 더 해 먹다보면 순식간에 사라지는 마법,7000,123
65,청양마요타코야끼,청양의 매콤함과 마요의 고소함의 환상 하모니,7000,124
65,핫 칠리타코야끼,여운이 오래 남는 맵싹함 매운맛 매니아분들께 추천,7000,125
65,::NEW:: 눈꽃치즈오꼬노미야끼,,9500,126
65,다섯가지 맛 오색 타코야끼,취향대로 다섯가지 맛을 골라담다.25알,17500,127
65,에이드1EA＋타코야끼 14알,,12000,128
65,에이드1EA＋타코야끼 14알,,12000,129
65,불닭볶음면（큰컵）＋치즈타코,요즘 다 이렇게 먹더라불닭볶음면은 비조리로 나갑니다,9000,130
65,치즈타코＋핫칠리타코,미쳤다리 최고의 조합,7000,131
65,다섯가지 맛 오색 타코야끼,취향대로 다섯가지 맛을 골라담다.25알,17500,132
65,[[1등 타코]] 이나타코야끼,이나타코야끼만의 시그니쳐 소스,6500,133
65,[[NEW]] 명란마요 타코야끼,고소하고 짭잘한 감칠 맛 1등,7000,134
65,[[NEW]] 와사비마요 타코야끼,와사비와 타코야끼의 찰떡 콜라보,7000,135
65,매콤치즈 타코야끼,매콤한 듯 고소한 듯 자꾸만 끌리는 맛,7000,136
65,[[네기]] 파 타코야끼,파 향과 아삭한 식감이 타코야끼의 맛을 더욱 풍미있게.,7000,137
65,[[사장님 추천]] 치즈타코야끼,치즈 소스를 듬뿍 올려 먹을수록 중독 되는 맛.,7000,138
65,맵달타코야끼,매콤달달한 소스에 마요네즈를 더 해 먹다보면 순식간에 사라지는 마법,7000,139
65,청양마요타코야끼,청양의 매콤함과 마요의 고소함의 환상 하모니,7000,140
65,핫 칠리타코야끼,여운이 오래 남는 맵싹함 매운맛 매니아분들께 추천,7000,141
65,[[인기]] 반반타코야끼,한 가지 맛으로 만족할 수 없다,6500,142
65,::NEW:: 오꼬노미야끼,,8900,143
65,::NEW:: 네기오꼬노미야끼,,9500,144
65,::NEW:: 눈꽃치즈오꼬노미야끼,,9500,145
