가게 이름,평점,리뷰수,배송예상시간,주소,최소금액,배달팁,영업시간,전화번호,카테고리,순번
큰맘할매순대국-주례동서대점,4.8,4771,40~45분,부산 사상구 가야대로284번길 7-14,10000,3000,11:00 - 23:00,5048071431,KOREAN,1
두마리찜닭두찜-가야점,4.9,3620,40~45분,부산 부산진구 동평로44번길 62-16,15800,2500,11:00 - 22:40,50352968796,KOREAN,2
박가부대-부산당감점,3.8,3154,60~65분,부산 부산진구 동평로 77,24000,3000,11:20 - 23:00,50352578285,KOREAN,3
진담찬반찬,4.9,2781,60~65분,부산 부산진구 진남로356번길 33,15000,2000,08:00 - 21:30,50718632101,KOREAN,4
봉구스밥버거-동의대점,4.9,2734,34~39분,부산 부산진구 엄광로 176-5,10000,2500,10:50 - 19:50,50712907273,KOREAN,5
대게홍게한판20분-주례본점,5,2341,47~52분,부산 사상구 가야대로282번길 72 1층,16000,3300,11:00 - 22:00,513136427,KOREAN,6
98도씨국밥-주례점,4.9,2110,55~60분,부산 사상구 가야대로344번길 86,7900,2000,07:00 - 22:30,50352967912,KOREAN,7
땅스부대찌개-개금점,4.9,2013,47~52분,부산 부산진구 복지로13번길 68,14900,0,10:30~21:00,50718667652,KOREAN,8
밥풀릭스-개금주례점,5,1813,45~50분,부산 부산진구 진사로 7 1층,7900,2000,07:50 - 22:00,5048067613,KOREAN,9
이게볶음밥-주례점,5,1595,60~65분,부산 사상구 가야대로310번길 19,9000,2700,10:00~02:00,5078994442,KOREAN,10
난쟁이빵자루,5,1523,48~53분,부산 사상구 가야대로366번길 4 1층,9000,3000,10:00~18:30,50713180839,KOREAN,11
당감댁-개금점,4.8,1465,43~48분,부산 부산진구 냉정로 239 1층,3000,2500,09:30~02:30,50352888043,KOREAN,12
유가네닭갈비-개금가야점,5,1271,60~65분,부산 부산진구 가야대로498번길 28-3,4000,3500,09:45~20:30,50718618861,KOREAN,13
필순할매돼지국밥,4.9,1089,30~35분,부산 부산진구 복지로8번길 18 2층 1호,3000,2900,00:00~00:00,5048060018,KOREAN,14
이승준의맛만세,5,1005,60~65분,부산 부산진구 엄광로 15,7000,1300,11:30~02:30,50702876836,KOREAN,15
시민보쌈족발&감자탕,4.9,3671,59~64분,부산광역시 사상구 주례동 177 1층,14000,2000,11:00 - 00:50,50712908137,KOREAN,16
봉구스밥버거-동서대점,4.9,916,40~45분,부산 사상구 주례로 60,10000,3000,09:30~20:00,50712907294,KOREAN,17
정직유부-경남정보대,5,907,50~55분,부산 사상구 가야대로366번길 59,6000,3000,11:00~20:20,50720794860,KOREAN,18
한국인의밥상,4.9,881,60~65분,부산 부산진구 가야대로408번길 10,12000,2000,10:50~00:00,5078968000,KOREAN,19
한식밥상-부산가야점,4.9,858,40~45분,부산 부산진구 가야대로552번길 133,7000,3000,10:00~02:00,5078962788,KOREAN,20
아구통,4.9,857,30~35분,부산 부산진구 백양대로208번길 139 2층,12000,0,10:00~01:50,5078963985,KOREAN,21
조방낙지-주례점,5,846,40~45분,부산 사상구 가야대로 337,15000,4000,10:10~11:30,5049302231,KOREAN,22
김밥천국-개금금강점,5,762,40~45분,부산 부산진구 가야대로 450,5000,3000,09:00~08:30,50352962432,KOREAN,23
찌개공방-부산진구점,4.8,744,60~65분,부산 부산진구 가야대로588번길 14 2층,9000,2500,07:30~20:20,5078984831,KOREAN,24
정성이가득찬집밥-부산개금점,5,688,39~44분,부산 부산진구 진사로 7 1층,8000,3000,10:00~01:45,50718604456,KOREAN,25
동이아구찜,4.9,682,45~50분,부산 부산진구 대학로 38-10 1층,10000,0,10:00~21:00,50714336989,KOREAN,26
