순번,가게 이름,평점,리뷰수,배송예상시간,주소,카테고리,최소주문금액,배달요금,영업시간,휴무일
1,큰맘할매순대국-주례동서대점,4.8,4771,40~45분,부산 사상구 가야대로284번길 7-14,KOREAN,10000,1000,오전10시~오후5시,월요일
2,두마리찜닭두찜-가야점,4.9,3620,40~45분,부산 부산진구 동평로44번길 62-16,KOREAN,10000,1000,오전10시~오후5시,화요일
3,박가부대-부산당감점,3.8,3154,60~65분,부산 부산진구 동평로 77,KOREAN,10000,1000,오전10시~오후5시,수요일
4,진담찬반찬,4.9,2781,60~65분,부산 부산진구 진남로356번길 33,KOREAN,10000,1000,오전10시~오후5시,목요일
5,봉구스밥버거-동의대점,4.9,2734,34~39분,부산 부산진구 엄광로 176-5,KOREAN,10000,1000,오전10시~오후5시,금요일
6,대게홍게한판20분-주례본점,5,2341,47~52분,부산 사상구 가야대로282번길 72 1층,KOREAN,10000,1000,오전10시~오후5시,토요일
7,98도씨국밥-주례점,4.9,2110,55~60분,부산 사상구 가야대로344번길 86,KOREAN,10000,1000,오전10시~오후5시,일요일
8,땅스부대찌개-개금점,4.9,2013,47~52분,부산 부산진구 복지로13번길 68,KOREAN,10000,1000,오전10시~오후5시,월요일
9,밥풀릭스-개금주례점,5,1813,45~50분,부산 부산진구 진사로 7 1층,KOREAN,10000,1000,오전10시~오후5시,화요일
10,이게볶음밥-주례점,5,1595,60~65분,부산 사상구 가야대로310번길 19,KOREAN,10000,1000,오전10시~오후5시,수요일
11,난쟁이빵자루,5,1523,48~53분,부산 사상구 가야대로366번길 4 1층,KOREAN,10000,1000,오전10시~오후5시,목요일
12,당감댁-개금점,4.8,1465,43~48분,부산 부산진구 냉정로 239 1층,KOREAN,10000,1000,오전10시~오후5시,금요일
13,유가네닭갈비-개금가야점,5,1271,60~65분,부산 부산진구 가야대로498번길 28-3,KOREAN,10000,1000,오전10시~오후5시,토요일
14,필순할매돼지국밥,4.9,1089,30~35분,부산 부산진구 복지로8번길 18 2층 1호,KOREAN,10000,1000,오전10시~오후5시,일요일
15,이승준의맛만세,5,1005,60~65분,부산 부산진구 엄광로 15,KOREAN,10000,1000,오전10시~오후5시,월요일
16,덮덮밥-개금점,4.9,956,58~63분,"부산 부산진구 개금본동로9번길 8 1층 101호 (개금동, 더 퍼스트빌)",KOREAN,10000,1000,오전10시~오후5시,화요일
17,봉구스밥버거-동서대점,4.9,916,40~45분,부산 사상구 주례로 60,KOREAN,10000,1000,오전10시~오후5시,수요일
18,청년숯불두마리치킨-부산본점,4.9,912,60~65분,부산 사상구 가야대로378번길 59 1층 102호,KOREAN,10000,1000,오전10시~오후5시,목요일
19,정직유부-경남정보대,5,907,50~55분,부산 사상구 가야대로366번길 59,KOREAN,10000,1000,오전10시~오후5시,금요일
20,한국인의밥상,4.9,881,60~65분,부산 부산진구 가야대로408번길 10,KOREAN,10000,1000,오전10시~오후5시,토요일
21,한식밥상-부산가야점,4.9,858,40~45분,부산 부산진구 가야대로552번길 133,KOREAN,10000,1000,오전10시~오후5시,일요일
22,아구통,4.9,857,30~35분,부산 부산진구 백양대로208번길 139 2층,KOREAN,10000,1000,오전10시~오후5시,월요일
23,조방낙지-주례점,5,846,40~45분,부산 사상구 가야대로 337,KOREAN,10000,1000,오전10시~오후5시,화요일
24,김밥천국-개금금강점,5,762,40~45분,부산 부산진구 가야대로 450,KOREAN,10000,1000,오전10시~오후5시,수요일
25,찌개공방-부산진구점,4.8,744,60~65분,부산 부산진구 가야대로588번길 14 2층,KOREAN,10000,1000,오전10시~오후5시,목요일
26,정성이가득찬집밥-부산개금점,5,688,39~44분,부산 부산진구 진사로 7 1층,KOREAN,10000,1000,오전10시~오후5시,금요일
27,동이아구찜,4.9,682,45~50분,부산 부산진구 대학로 38-10 1층,KOREAN,10000,1000,오전10시~오후5시,토요일
28,조방낙지-가야점,4.9,670,40~45분,부산 부산진구 가야대로 597,KOREAN,10000,1000,오전10시~오후5시,일요일
